Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1726.0,9,0,100,0,100,0.0,726.0,762.0,1220.0,1192.0,3879.0
1,100,1726.0,0,0,100,8,100,0.0,726.0,763.0,991.0,1115.0,3574.0
2,200,1728.0,0,0,81,10,81,10.0,726.0,763.0,839.0,1076.0,3383.0
3,300,1726.0,8,9,100,0,100,0.0,726.0,763.0,686.0,1057.0,3211.0
4,400,1727.0,0,0,100,0,100,0.0,726.0,686.0,534.0,1038.0,2963.0
5,500,1680.0,0,58,45,9,58,3.0,726.0,763.0,457.0,1019.0,2944.0
6,600,1677.0,16,90,10,0,90,6.0,726.0,763.0,381.0,1000.0,2830.0
7,700,1676.0,8,100,16,8,100,0.0,726.0,763.0,381.0,980.0,2810.0
8,800,1683.0,0,100,0,0,100,4.0,726.0,763.0,305.0,961.0,2715.0
9,900,1725.0,9,100,16,0,100,2.0,726.0,763.0,305.0,961.0,2715.0
10,1000,1663.0,9,100,18,0,100,1.0,726.0,763.0,305.0,942.0,2696.0
11,1100,1689.0,8,100,0,0,100,0.0,726.0,763.0,228.0,942.0,2619.0
12,1200,1726.0,0,100,10,0,100,0.0,726.0,763.0,228.0,942.0,2619.0
13,1300,1727.0,9,100,9,9,100,0.0,726.0,763.0,228.0,923.0,2600.0
14,1400,1727.0,16,100,18,0,100,4.0,726.0,763.0,228.0,942.0,2619.0
15,1500,1724.0,10,100,9,9,100,0.0,726.0,839.0,228.0,923.0,2676.0
16,1600,1723.0,23,100,0,16,100,0.0,726.0,839.0,228.0,923.0,2676.0
17,1700,1723.0,10,100,16,0,100,2.0,726.0,839.0,228.0,942.0,2695.0
18,1800,1674.0,9,100,0,0,100,3.0,726.0,839.0,228.0,1000.0,2753.0
19,1900,1676.0,0,92,8,8,92,4.0,726.0,839.0,228.0,980.0,2752.0
20,2000,1684.0,9,100,0,0,100,0.0,726.0,839.0,228.0,980.0,2752.0
21,2100,1727.0,0,100,9,0,100,0.0,726.0,839.0,228.0,961.0,2714.0
22,2200,1678.0,8,100,0,0,100,0.0,726.0,763.0,228.0,961.0,2638.0
23,2300,1679.0,9,90,9,0,90,0.0,726.0,763.0,228.0,961.0,2638.0
24,2400,1726.0,0,75,16,0,75,0.0,726.0,763.0,381.0,1038.0,2868.0
25,2500,1756.0,9,45,0,8,45,99.0,726.0,686.0,762.0,1211.0,3498.0
26,2600,1727.0,0,70,0,0,70,0.0,726.0,686.0,839.0,1269.0,3825.0
27,2700,1681.0,0,50,8,0,50,95.0,726.0,686.0,1067.0,1365.0,4110.0
28,2800,1741.0,9,60,0,0,60,0.0,726.0,686.0,1143.0,1403.0,4340.0
29,2900,1681.0,0,54,0,9,54,64.0,726.0,610.0,1220.0,1442.0,4399.0
30,3000,1747.0,16,50,0,0,50,20.0,726.0,610.0,1296.0,1500.0,4456.0
31,3100,1725.0,0,66,9,0,66,6.0,726.0,610.0,1296.0,1500.0,4398.0
32,3200,1727.0,15,40,0,0,40,65.0,726.0,610.0,1372.0,1557.0,4474.0
33,3300,1727.0,0,63,0,0,63,0.0,726.0,610.0,1372.0,1538.0,4416.0
34,3400,1688.0,0,45,0,0,45,99.0,726.0,610.0,1448.0,1577.0,4569.0
35,3500,1727.0,16,63,0,0,63,0.0,726.0,610.0,1372.0,1557.0,4377.0
36,3600,1683.0,16,40,0,0,40,65.0,726.0,610.0,1448.0,1577.0,4531.0
37,3700,1739.0,60,0,0,0,60,20.0,726.0,534.0,1448.0,1577.0,4455.0
38,3800,1728.0,54,0,0,8,54,10.0,726.0,534.0,1448.0,1577.0,4435.0
39,3900,1755.0,44,8,8,0,44,73.0,726.0,534.0,1525.0,1615.0,4550.0
40,4000,1696.0,69,0,0,16,69,0.0,726.0,610.0,1448.0,1577.0,4492.0
