Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,2020.0,0,8,100,0,100,0.0,1122.0,992.0,915.0,1211.0,3804.0
1,100,2055.0,0,0,90,0,90,0.0,1122.0,915.0,762.0,1134.0,3497.0
2,200,2034.0,9,90,16,9,90,0.0,1122.0,992.0,686.0,1096.0,3460.0
3,300,1992.0,9,100,0,0,100,0.0,1122.0,915.0,534.0,1076.0,3211.0
4,400,1988.0,0,54,36,0,54,4.0,1122.0,992.0,457.0,1057.0,3192.0
5,500,1990.0,18,9,40,60,60,4.0,1122.0,992.0,457.0,1038.0,3173.0
6,600,652.0,18,8,0,100,100,3.0,1122.0,992.0,381.0,1000.0,3059.0
7,700,1996.0,0,0,100,18,100,0.0,1122.0,1068.0,381.0,980.0,3115.0
8,800,1961.0,0,0,80,11,80,1.0,1122.0,1068.0,381.0,980.0,3115.0
9,900,1996.0,18,0,0,100,100,1.0,1122.0,1068.0,381.0,961.0,3096.0
10,1000,1995.0,25,8,9,83,83,8.0,1122.0,1068.0,305.0,961.0,3020.0
11,1100,1992.0,10,0,0,100,100,1.0,1122.0,1068.0,305.0,942.0,3001.0
12,1200,1990.0,0,9,18,100,100,11.0,1122.0,1068.0,381.0,961.0,3096.0
13,1300,2036.0,18,0,10,100,100,7.0,1122.0,1144.0,381.0,961.0,3172.0
14,1400,2035.0,8,0,9,100,100,8.0,1122.0,1144.0,381.0,942.0,3153.0
15,1500,2023.0,10,9,10,100,100,2.0,1122.0,1144.0,381.0,961.0,3172.0
16,1600,2045.0,18,9,16,100,100,3.0,1122.0,1144.0,381.0,1019.0,3230.0
17,1700,1995.0,0,0,9,100,100,1.0,1122.0,1144.0,381.0,1000.0,3230.0
18,1800,2027.0,22,9,8,66,66,0.0,1122.0,1144.0,381.0,1000.0,3230.0
19,1900,1989.0,8,16,0,100,100,1.0,1122.0,1144.0,381.0,980.0,3210.0
20,2000,1990.0,9,8,0,100,100,6.0,1122.0,1068.0,305.0,980.0,3058.0
21,2100,1993.0,9,0,0,80,80,17.0,1122.0,1068.0,610.0,1057.0,3440.0
22,2200,1678.0,36,9,0,33,36,59.0,1122.0,991.0,1143.0,1211.0,4050.0
23,2300,1747.0,0,0,0,60,60,70.0,1122.0,991.0,1525.0,1346.0,4624.0
24,2400,1061.0,9,0,0,54,54,75.0,1122.0,915.0,1753.0,1423.0,4853.0
25,2500,2071.0,0,0,8,70,70,0.0,1122.0,915.0,1906.0,1480.0,5082.0
26,2600,960.0,9,0,33,30,33,0.0,1122.0,838.0,2058.0,1519.0,5196.0
27,2700,2035.0,0,0,30,36,36,13.0,1122.0,838.0,2134.0,1538.0,5272.0
28,2800,2025.0,0,0,0,58,58,22.0,1122.0,838.0,2286.0,1596.0,5558.0
29,2900,2025.0,9,0,0,63,63,99.0,1122.0,838.0,2362.0,1615.0,5653.0
30,3000,1960.0,0,0,45,10,45,86.0,1122.0,838.0,2439.0,1653.0,5768.0
31,3100,1960.0,9,0,60,0,60,81.0,1122.0,762.0,2591.0,1692.0,5883.0
32,3200,1804.0,16,9,58,9,58,99.0,1122.0,762.0,2591.0,1711.0,5921.0
33,3300,1882.0,8,0,58,0,58,99.0,1122.0,762.0,2667.0,1730.0,6016.0
34,3400,345.0,9,0,60,0,60,56.0,1122.0,762.0,2667.0,1730.0,6016.0
35,3500,345.0,9,0,58,0,58,84.0,1122.0,762.0,2667.0,1730.0,6016.0
36,3600,2069.0,0,0,63,0,63,99.0,1122.0,762.0,2667.0,1750.0,6036.0
37,3700,1881.0,8,0,27,30,30,31.0,1122.0,762.0,2667.0,1730.0,6016.0
38,3800,2065.0,9,8,9,72,72,35.0,1122.0,762.0,2667.0,1730.0,6016.0
39,3900,2072.0,9,0,33,36,36,0.0,1122.0,838.0,2591.0,1711.0,5997.0
40,4000,2034.0,0,0,70,0,70,0.0,1122.0,838.0,2515.0,1692.0,5902.0
41,4100,1993.0,9,8,54,0,54,84.0,1122.0,838.0,2591.0,1692.0,5978.0
42,4200,1996.0,0,0,54,0,54,54.0,1122.0,838.0,2591.0,1711.0,5978.0
43,4300,1993.0,9,9,60,0,60,88.0,1122.0,838.0,2667.0,1730.0,6073.0
44,4400,2036.0,9,0,54,0,54,99.0,1122.0,838.0,2667.0,1750.0,6093.0
45,4500,1880.0,0,0,60,0,60,99.0,1122.0,762.0,2744.0,1750.0,6094.0
46,4600,346.0,0,0,58,15,58,44.0,1122.0,762.0,2667.0,1750.0,6017.0
47,4700,345.0,9,8,63,8,63,62.0,1122.0,762.0,2744.0,1750.0,6094.0
48,4800,498.0,8,30,36,0,36,29.0,1122.0,838.0,2591.0,1692.0,5959.0
49,4900,2027.0,18,8,63,0,63,0.0,1122.0,838.0,2515.0,1673.0,5864.0
50,5000,2039.0,8,9,66,0,66,0.0,1122.0,838.0,2515.0,1673.0,5864.0
51,5100,2026.0,9,0,54,8,54,43.0,1122.0,838.0,2591.0,1692.0,5959.0
52,5200,2025.0,0,0,63,0,63,27.0,1122.0,762.0,2591.0,1711.0,5902.0
53,5300,2023.0,9,0,54,15,54,95.0,1122.0,762.0,2667.0,1711.0,5978.0
54,5400,1996.0,9,9,63,0,63,80.0,1122.0,762.0,2667.0,1730.0,5997.0
55,5500,1959.0,0,0,54,8,54,99.0,1122.0,762.0,2744.0,1750.0,6094.0
56,5600,1804.0,9,0,63,0,63,99.0,1122.0,762.0,2744.0,1750.0,6094.0
57,5700,1882.0,16,0,58,0,58,99.0,1122.0,762.0,2742.0,1750.0,6092.0
58,5800,345.0,9,0,60,0,60,60.0,1122.0,762.0,2744.0,1750.0,6094.0
59,5900,1063.0,16,0,54,0,54,86.0,1122.0,762.0,2744.0,1750.0,6094.0
60,6000,345.0,9,0,63,0,63,94.0,1122.0,762.0,2744.0,1750.0,6094.0
61,6100,345.0,9,0,58,0,58,99.0,1122.0,762.0,2742.0,1750.0,6092.0
62,6200,1882.0,0,0,36,41,41,7.0,1122.0,762.0,2667.0,1730.0,5997.0
63,6300,651.0,0,0,63,0,63,21.0,1122.0,762.0,2591.0,1730.0,5921.0
64,6400,2024.0,0,0,63,0,63,14.0,1122.0,762.0,2515.0,1692.0,5807.0
65,6500,1994.0,9,8,66,0,66,21.0,1122.0,762.0,2591.0,1692.0,5883.0
66,6600,2018.0,9,0,50,0,50,87.0,1122.0,762.0,2591.0,1711.0,5902.0
67,6700,1958.0,0,0,54,0,54,82.0,1122.0,762.0,2667.0,1730.0,5997.0
68,6800,1802.0,8,9,66,0,66,76.0,1122.0,762.0,2667.0,1730.0,5997.0
69,6900,345.0,9,0,54,0,54,86.0,1122.0,762.0,2744.0,1750.0,6094.0
70,7000,345.0,0,0,60,0,60,99.0,1122.0,762.0,2744.0,1750.0,6094.0
71,7100,345.0,9,0,58,9,58,99.0,1122.0,762.0,2744.0,1750.0,6094.0
72,7200,345.0,8,0,66,8,66,43.0,1122.0,762.0,2744.0,1750.0,6094.0
73,7300,345.0,0,0,54,0,54,40.0,1122.0,762.0,2667.0,1730.0,5997.0
74,7400,346.0,9,0,63,0,63,34.0,1122.0,762.0,2667.0,1711.0,5978.0
75,7500,499.0,9,0,66,0,66,35.0,1122.0,762.0,2667.0,1711.0,5978.0
76,7600,2072.0,0,0,60,0,60,0.0,1122.0,762.0,2591.0,1692.0,5883.0
77,7700,2021.0,9,0,66,0,66,0.0,1122.0,762.0,2591.0,1692.0,5883.0
78,7800,1993.0,9,8,63,9,63,67.0,1122.0,762.0,2591.0,1692.0,5883.0
79,7900,2027.0,0,0,54,0,54,67.0,1122.0,762.0,2667.0,1711.0,5978.0
80,8000,1959.0,0,0,54,0,54,99.0,1122.0,762.0,2667.0,1730.0,5997.0
81,8100,1960.0,0,0,60,0,60,99.0,1122.0,762.0,2744.0,1730.0,6074.0
