Index,Time (mS),CPU Frequency (MHz),CPU 0 Load (%),CPU 3 Load (%),CPU 4 Load (%),CPU 5 Load (%),CPU Load max,Used GR3D (%),GR3D Frequency (MHz),CPU Power (mW),GPU Power (mW),DDR Power (mW),Total Power (mW)
0,0,1980.0,18,0,8,0,18,0.0,114.0,305.0,152.0,403.0,1298.0
1,100,2036.0,60,0,0,0,60,0.0,114.0,381.0,152.0,500.0,1529.0
2,200,1980.0,72,0,0,0,72,0.0,114.0,534.0,152.0,576.0,1757.0
3,300,1419.0,53,28,16,15,53,0.0,114.0,610.0,152.0,615.0,1949.0
4,400,1267.0,11,18,0,9,18,0.0,114.0,610.0,152.0,634.0,1968.0
5,500,1574.0,50,16,8,8,50,0.0,114.0,687.0,152.0,673.0,2084.0
6,600,2035.0,11,36,16,0,36,29.0,114.0,687.0,152.0,653.0,2064.0
7,700,2036.0,46,20,25,16,46,42.0,114.0,687.0,152.0,692.0,2084.0
8,800,2058.0,40,0,0,0,40,0.0,114.0,687.0,152.0,711.0,2103.0
9,900,806.0,54,15,9,0,54,0.0,114.0,687.0,152.0,750.0,2142.0
10,1000,1972.0,54,9,0,0,54,0.0,114.0,687.0,152.0,788.0,2180.0
11,1100,1975.0,54,8,0,8,54,0.0,114.0,687.0,152.0,807.0,2275.0
12,1200,2074.0,36,27,8,8,36,0.0,114.0,686.0,152.0,826.0,2293.0
13,1300,2035.0,66,8,0,0,66,0.0,114.0,610.0,152.0,846.0,2237.0
14,1400,2034.0,45,0,0,0,45,10.0,114.0,610.0,152.0,865.0,2237.0
15,1500,2017.0,58,9,8,9,58,0.0,114.0,686.0,152.0,884.0,2351.0
16,1600,960.0,20,8,0,0,20,0.0,114.0,610.0,152.0,846.0,2218.0
17,1700,2062.0,25,27,0,8,27,0.0,114.0,534.0,152.0,788.0,2008.0
18,1800,2035.0,25,38,23,30,38,35.0,114.0,610.0,152.0,769.0,2065.0
19,1900,1983.0,81,18,18,10,81,40.0,114.0,686.0,152.0,807.0,2255.0
20,2000,2058.0,18,10,60,9,60,44.0,114.0,686.0,152.0,807.0,2255.0
21,2100,1981.0,50,8,10,8,50,1.0,114.0,763.0,152.0,807.0,2332.0
22,2200,2034.0,36,63,0,10,63,38.0,114.0,763.0,152.0,807.0,2332.0
23,2300,2063.0,33,54,9,0,54,14.0,114.0,763.0,152.0,807.0,2332.0
24,2400,1962.0,10,20,0,33,33,0.0,114.0,763.0,152.0,807.0,2332.0
25,2500,2030.0,50,20,25,9,50,39.0,114.0,763.0,152.0,826.0,2351.0
26,2600,2007.0,11,0,45,9,45,0.0,114.0,763.0,152.0,826.0,2351.0
27,2700,2030.0,36,66,0,10,66,36.0,114.0,839.0,152.0,826.0,2446.0
28,2800,1961.0,11,66,0,9,66,39.0,114.0,839.0,152.0,826.0,2446.0
29,2900,2029.0,15,83,25,9,83,33.0,114.0,839.0,152.0,846.0,2466.0
30,3000,1961.0,36,36,0,18,36,0.0,114.0,839.0,152.0,846.0,2466.0
31,3100,2035.0,10,72,9,15,72,4.0,114.0,839.0,152.0,846.0,2466.0
32,3200,2069.0,40,18,36,0,40,51.0,114.0,915.0,152.0,846.0,2542.0
33,3300,1978.0,33,0,36,15,36,0.0,114.0,839.0,152.0,846.0,2466.0
34,3400,2028.0,18,70,36,10,70,55.0,114.0,839.0,152.0,884.0,2504.0
35,3500,2034.0,25,18,90,0,90,25.0,114.0,915.0,152.0,903.0,2580.0
36,3600,2029.0,18,0,100,16,100,23.0,114.0,992.0,152.0,903.0,2657.0
37,3700,2029.0,20,18,88,0,88,56.0,114.0,992.0,152.0,923.0,2696.0
38,3800,2035.0,30,18,54,9,54,25.0,114.0,992.0,228.0,942.0,2945.0
39,3900,2036.0,53,9,36,10,53,0.0,114.0,915.0,228.0,980.0,2983.0
40,4000,1266.0,12,0,10,0,12,0.0,114.0,839.0,152.0,923.0,2716.0
41,4100,2035.0,58,8,18,0,58,14.0,114.0,763.0,152.0,884.0,2562.0
42,4200,1421.0,33,15,30,8,33,5.0,114.0,763.0,152.0,846.0,2486.0
43,4300,2034.0,20,0,40,0,40,3.0,216.0,763.0,152.0,826.0,2371.0
44,4400,1574.0,50,9,38,8,50,24.0,216.0,763.0,152.0,826.0,2427.0
45,4500,1968.0,41,8,20,0,41,4.0,216.0,686.0,152.0,826.0,2331.0
46,4600,2035.0,16,0,50,16,50,10.0,216.0,686.0,152.0,826.0,2312.0
47,4700,2034.0,9,0,72,8,72,0.0,216.0,686.0,152.0,826.0,2312.0
48,4800,1987.0,22,8,30,0,30,7.0,216.0,763.0,152.0,846.0,2390.0
49,4900,2008.0,75,0,8,9,75,11.0,216.0,763.0,152.0,846.0,2390.0
50,5000,1970.0,33,16,40,9,40,17.0,216.0,763.0,152.0,865.0,2409.0
51,5100,2036.0,25,0,8,8,25,0.0,726.0,686.0,381.0,942.0,2638.0
52,5200,2056.0,54,9,0,9,54,11.0,522.0,686.0,534.0,1038.0,2887.0
