CPU,GPU,Time (ms),CPU freq (MHz),GR3D freq (MHz),CPU MAX Load (%),USED GR3D (%),CPU Power (mW,GPU Power (mW,DDR Power (mW,CPU+GPU+DDR Power (mW),Total Power (mW),EDP (W*s^2)
1113600,1032750000,665300,1099,1032,72,34,381,1721,1467,3569,4351,1579725.377
1113600,1122000000,654000,1098,1122,73,33,381,1923,1472,3776,4555,1615055.616
1113600,1236750000,641400,1098,1236,73,32,381,2229,1490,4100,4879,1686715.236
1113600,726750000,722300,1098,726,66,40,381,1197,1434,3012,3790,1571412.477
1113600,854250000,689700,1099,854,69,37,381,1383,1448,3212,3990,1527903.721
1113600,930750000,674600,1099,930,70,36,381,1532,1465,3378,4157,1537277.67
1113600,default,633500,1098,1299,74,32,381,2533,1494,4408,5191,1769028.478
1267200,1032750000,611000,1253,1032,69,38,453,1859,1529,3841,4618,1433925.961
1267200,1122000000,601900,1252,1122,70,36,457,2092,1540,4089,4868,1481377.681
1267200,1236750000,598200,1252,1236,72,35,468,2428,1543,4439,5244,1588466.142
1267200,726750000,674100,1259,726,62,43,383,1272,1478,3133,3910,1423669.068
1267200,854250000,639500,1257,854,66,40,407,1497,1504,3408,4187,1393736.532
1267200,930750000,626600,1255,930,67,38,429,1645,1514,3588,4367,1408747.685
1267200,default,589000,1251,1299,72,35,457,2716,1546,4719,5518,1637120.199
1420800,1032750000,574500,1414,1032,66,39,462,1982,1571,4015,4813,1325151.754
1420800,1122000000,566100,1415,1122,67,38,480,2228,1584,4292,5118,1375453.849
1420800,1236750000,554100,1415,1236,67,38,515,2632,1601,4748,5604,1457763.294
1420800,726750000,633100,1410,726,59,45,457,1343,1524,3324,4102,1332311.088
1420800,854250000,601200,1408,854,62,43,457,1581,1556,3594,4376,1299020.535
1420800,930750000,586900,1409,930,64,41,458,1746,1566,3770,4553,1298582.57
1420800,default,550600,1416,1299,69,37,533,2906,1605,5044,5910,1529140.856
1574400,1032750000,550700,1567,1032,63,42,533,2061,1612,4206,5018,1275555.681
1574400,1122000000,538300,1573,1122,64,41,534,2335,1627,4496,5348,1302791.937
1574400,1236750000,522500,1574,1236,65,40,540,2784,1648,4972,5830,1357387.075
1574400,726750000,605500,1570,726,57,48,487,1411,1552,3450,4230,1264874.363
1574400,854250000,575900,1570,854,60,45,521,1632,1582,3735,4513,1238753.125
1574400,930750000,559900,1569,930,61,43,534,1812,1595,3941,4722,1235456.247
1574400,default,526400,1574,1300,66,39,549,3054,1641,5244,6099,1453096.458
1728000,1032750000,521600,1717,1032,61,44,610,2177,1653,4440,5294,1207975.526
1728000,1122000000,514800,1717,1122,62,43,612,2441,1664,4717,5572,1250094.812
1728000,1236750000,504400,1716,1236,63,42,619,2886,1676,5181,6036,1318146.704
1728000,726750000,580000,1720,726,54,49,574,1462,1591,3627,4441,1220122.8
1728000,854250000,547700,1720,854,57,47,606,1751,1622,3979,4819,1193601.679
1728000,930750000,533800,1718,930,59,45,610,1919,1640,4169,5024,1187925.032
1728000,default,500800,1714,1300,64,41,631,3211,1683,5525,6378,1385673.536
1881600,1032750000,498700,1871,1032,58,46,689,2276,1700,4665,5519,1160193.384
1881600,1122000000,491100,1870,1122,60,45,696,2560,1706,4962,5818,1196731.24
1881600,1236750000,483100,1867,1236,61,43,715,3026,1722,5463,6324,1274985.587
1881600,726750000,560700,1874,726,52,52,646,1512,1619,3777,4631,1187430.219
1881600,854250000,526100,1873,854,55,49,681,1803,1658,4142,5005,1146427.772
1881600,930750000,515400,1871,930,57,47,687,1989,1672,4348,5206,1154990.372
1881600,default,477800,1866,1300,61,42,730,3362,1729,5821,6675,1328892.622
default,1032750000,493200,1501,1032,58,45,743,2267,1679,4689,5544,1140581.619
default,1122000000,483700,1579,1122,59,45,766,2567,1697,5030,5884,1176847.421
default,1236750000,466300,1519,1236,61,50,780,3090,1723,5593,6448,1216117.814
default,726750000,558700,1666,726,52,51,682,1501,1595,3778,4621,1179286.417
default,854250000,524600,1641,854,55,48,709,1814,1634,4157,5010,1144027.85
default,930750000,502100,1672,930,58,47,770,2009,1670,4449,5313,1121612.52
default,default,493300,1835,1287,50,41,816,3228,1673,5717,6582,1391202.736
